id,tipo,n_registro,nombre,tipo_reconocimiento,documento_reconocimiento,n_documento_reconocimiento,fecha_reconocimiento,regimen_funcionamiento,año_reconocimiento,fondecyt_n_concursados,fondecyt_n_adjudicados,fondecyt_tasa_adjudicacion
88,E,334,Centro de Formación Técnica UCEVALPO,Reconocimiento Oficial,Dex.,216,2004-03-31,Autónoma,2004,0,0,0.0
89,E,280,Centro de Formación Técnica UDA,Reconocimiento Oficial,Dex.,355,2000-09-14,Autónoma,2000,0,0,0.0
90,E,22,Centro de Formación Técnica de ENAC,Autorización de Funcionamiento,Dex.,44,1982-03-23,Autónoma,1982,0,0,0.0
91,E,299,Centro de Formación Técnica de Tarapacá,Reconocimiento Oficial,Dex.,273,2002-08-04,Autónoma,2002,0,0,0.0
92,E,320,Centro de Formación Técnica de la Industria Gráfica o CFT.  INGRAF,Reconocimiento Oficial,Dex.,176,2003-03-24,Autónoma,2003,0,0,0.0
93,E,239,Centro de Formación Técnica del Medio Ambiente,Reconocimiento Oficial,Dex.,471,1996-08-23,Autónoma,1996,0,0,0.0
94,D,49,Instituto Profesional AIEP,Autorización de Funcionamiento,Dex.,121,1989-07-25,Autónoma,1989,0,0,0.0
95,D,15,Instituto Profesional Adventista,Autorización de Funcionamiento,Dex.,160,1982-12-09,Autónoma,1982,0,0,0.0
96,D,5,Instituto Profesional Agrario Adolfo Matthei,Autorización de Funcionamiento,Dex.,280,1981-01-12,Autónoma,1981,0,0,0.0
97,D,25,Instituto Profesional Alemán Wilhelm Von Humboldt,Autorización de Funcionamiento,Dex.,11,1988-01-27,Autónoma,1988,0,0,0.0
98,D,68,Instituto Profesional CIISA,Autorización de Funcionamiento,Dex.,54,1990-02-14,Autónoma,1990,0,0,0.0
99,D,89,Instituto Profesional Carlos Casanueva,Reconocimiento Oficial,Dex.,112,1993-12-03,Autónoma,1993,0,0,0.0
100,D,14,Instituto Profesional Chileno Británico de Cultura,Autorización de Funcionamiento,Dex.,159,1982-09-13,Examinada,1982,0,0,0.0
101,D,117,Instituto Profesional Chileno Norteamericano,Reconocimiento Oficial,Dex.,2429,2007-10-12,Licenciamiento,2007,0,0,0.0
102,D,17,Instituto Profesional DUOC UC,Autorización de Funcionamiento,Dex.,3,1983-06-01,Autónoma,1983,0,0,0.0
103,D,26,Instituto Profesional Diego Portales,Autorización de Funcionamiento,Dex.,13,1988-01-27,Autónoma,1988,0,0,0.0
104,D,45,Instituto Profesional Dr. Virginio Gómez G.,Autorización de Funcionamiento,Dex.,69,1989-06-04,Autónoma,1989,0,0,0.0
105,D,43,Instituto Profesional EATRI Instituto Profesional,Autorización de Funcionamiento,Dex.,58,1989-03-28,Autónoma,1989,0,0,0.0
106,D,38,Instituto Profesional ESUCOMEX,Autorización de Funcionamiento,Dex.,28,1989-03-14,Autónoma,1989,0,0,0.0
107,D,35,Instituto Profesional Escuela Moderna de Música,Autorización de Funcionamiento,Dex.,197,1988-12-23,Autónoma,1988,0,0,0.0
108,D,119,Instituto Profesional Escuela de Cine de Chile,Reconocimiento Oficial,Dex.,857,2009-12-05,Licenciamiento,2009,0,0,0.0
109,D,10,Instituto Profesional Escuela de Contadores Auditores de Santiago,Autorización de Funcionamiento,Dex.,7,1982-12-01,Autónoma,1982,0,0,0.0
110,D,54,Instituto Profesional Hogar Catequístico,Autorización de Funcionamiento,Dex.,188,1989-11-27,Autónoma,1989,0,0,0.0
111,D,6,Instituto Profesional INACAP,Autorización de Funcionamiento,Dex.,290,1981-10-12,Autónoma,1981,0,0,0.0
112,D,19,Instituto Profesional IPG,Autorización de Funcionamiento,Dex.,116,1984-01-08,Autónoma,1984,0,0,0.0
113,D,108,Instituto Profesional Instituto Internacional de Artes Culinarias y Servicios,Reconocimiento Oficial,Dex,510,2008-12-02,Licenciamiento,2008,0,0,0.0
114,D,100,Instituto Profesional Instituto Nacional del Fútbol,Reconocimiento Oficial,Dex.,243,1997-02-21,Autónoma,1997,0,0,0.0
115,D,23,Instituto Profesional Instituto Superior de Artes y Ciencias de la Comunicación,Autorización de Funcionamiento,Dex.,229,1987-11-13,Autónoma,1987,0,0,0.0
116,D,9,Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux,Autorización de Funcionamiento,Dex.,6,1982-12-01,Autónoma,1982,0,0,0.0
117,D,32,Instituto Profesional La Araucana,Autorización de Funcionamiento,Dex.,191,1988-05-12,Autónoma,1988,0,0,0.0
118,D,58,Instituto Profesional Latinoamericano de Comercio Exterior - IPLACEX,Autorización de Funcionamiento,Dex.,6,1990-09-01,Autónoma,1990,0,0,0.0
119,D,7,Instituto Profesional Libertador de Los Andes,Autorización de Funcionamiento,Dex.,292,1981-12-22,Autónoma,1981,0,0,0.0
120,D,71,Instituto Profesional Los Lagos,Autorización de Funcionamiento,Dex.,58,1990-02-14,Autónoma,1990,0,0,0.0
121,D,61,Instituto Profesional Los Leones,Autorización de Funcionamiento,Dex.,36,1990-01-29,Autónoma,1990,0,0,0.0
122,D,128,Instituto Profesional Mar Futuro,Reconocimiento Oficial,Dex.,515,2013-06-18,Licenciamiento,2013,0,0,0.0
123,D,111,Instituto Profesional PROJAZZ,Reconocimiento Oficial,Dex.,402,2007-01-26,Autónoma,2007,0,0,0.0
124,D,12,Instituto Profesional Providencia,Autorización de Funcionamiento,Dex.,57,1982-04-14,Autónoma,1982,0,0,0.0
125,D,22,Instituto Profesional Santo Tomás,Autorización de Funcionamiento,Dex.,114,1987-10-06,Autónoma,1987,0,0,0.0
126,D,129,Instituto Profesional Vertical Instituto Profesional,Reconocimiento Oficial,Dex.,713,2011-04-04,Licenciamiento,2011,0,0,0.0
127,D,50,Instituto Profesional de Arte y Comunicación ARCOS,Autorización de Funcionamiento,Dex.,123,1989-07-28,Autónoma,1989,0,0,0.0
128,D,125,Instituto Profesional de Artes Escénicas Karen Connolly,Reconocimiento Oficial,Dex.,980,2012-04-20,Licenciamiento,2012,0,0,0.0
129,D,29,Instituto Profesional de Chile,Autorización de Funcionamiento,Dex.,160,1988-09-29,Autónoma,1988,0,0,0.0
130,D,76,Instituto Profesional de Ciencias de la Computación Acuario Data,Autorización de Funcionamiento,Dex.,64,1990-02-27,Examinada,1990,0,0,0.0
131,D,37,Instituto Profesional de Ciencias y Artes INCACEA,Autorización de Funcionamiento,Dex.,10,1989-01-20,Autónoma,1989,0,0,0.0
132,D,46,Instituto Profesional de Ciencias y Educación Helen Keller,Autorización de Funcionamiento,Dex.,90,1989-05-05,Examinada,1989,0,0,0.0
133,D,39,Instituto Profesional de ENAC,Autorización de Funcionamiento,Dex.,31,1989-03-16,Autónoma,1989,0,0,0.0
134,D,44,Instituto Profesional de Los Angeles,Autorización de Funcionamiento,Dex.,57,1989-03-27,Examinada,1989,0,0,0.0
135,D,77,Instituto Profesional del Comercio,Autorización de Funcionamiento,Dex.,62,1990-02-27,Autónoma,1990,0,0,0.0
136,D,82,Instituto Profesional del Valle Central,Autorización de Funcionamiento,Dex.,69,1988-06-04,Autónoma,1988,0,0,0.0
137,C,10,Universidad Bolivariana,Autorización de Funcionamiento,Certificado,584,1988-06-21,Autónoma,1988,0,0,0.0
138,C,89,Universidad Chileno Británica de Cultura,Reconocimiento Oficial,Dex.,136,2006-01-02,Licenciamiento,2006,0,0,0.0
139,C,1,Universidad Gabriela Mistral,Autorización de Funcionamiento,Certificado,S/N,1981-01-12,Autónoma,1981,0,0,0.0
140,C,28,"Universidad Iberoamericana de Ciencias y Tecnología, UNICIT",Autorización de Funcionamiento,Oficio,803,1989-09-25,Autónoma,1989,0,0,
141,C,101,Universidad La Araucana,Reconocimiento Oficial,Dex.,43,2012-01-20,Licenciamiento,2012,0,0,0.0
142,C,19,Universidad La República,Autorización de Funcionamiento,Oficio,98,1989-02-13,Autónoma,1989,0,0,
143,C,52,Universidad Los Leones,Autorización de Funcionamiento,Certificado,208,1990-06-03,Autónoma,1990,0,0,0.0
144,C,72,Universidad Miguel de Cervantes,Reconocimiento Oficial,Dex.,1169,1997-11-27,Autónoma,1997,0,0,0.0
145,C,12,Universidad Pedro de Valdivia,Autorización de Funcionamiento,Certificado,770,1988-08-25,Autónoma,1988,0,0,0.0
146,C,20,Universidad Sek,Autorización de Funcionamiento,Oficio,93,1989-09-02,Autónoma,1989,0,0,0.0
147,C,58,Universidad Tecnológica de Chile INACAP,Reconocimiento Oficial,Dex.,22,1992-01-29,Autónoma,1992,0,0,0.0
148,C,32,Universidad UCINF,Autorización de Funcionamiento,Oficio,1031,1989-10-27,Autónoma,1989,1,0,0.0
149,C,50,Universidad de Aconcagua,Autorización de Funcionamiento,Certificado,140,1991-01-31,Autónoma,1991,0,0,0.0
150,C,29,"Universidad de Artes, Ciencias y Comunicación - UNIACC",Autorización de Funcionamiento,Oficio,937,1989-10-18,Autónoma,1989,0,0,0.0
151,C,22,Universidad de Las Américas,Autorización de Funcionamiento,Oficio,1060,1988-12-23,Autónoma,1988,0,0,
